Decimal	Pure	Mixed	Postscript glyph name
character	long	short	
code	ASCII	ASCII	
	representation	representation	
33		bb	doubleflat
34		b	flat
35			wilsonminus
36		#	sharp
37		x	doublesharp
38	\Y/	bb	doublebarbexdown
40	\Y)	bbr	barbandarcexdown
42	\\Y	bb*	doubleleftbarbexdown
44	(Y(	bbg	arcandscrollexdown
45	\Y~	bb~	barbandboathookexdown
48	Y/	bb/	rightbarbexdown
49	)Y)	bb¬	scrollandarcexdown
50	Y)	bbf	rightarcexdown
52	\Y	bby	leftbarbexdown
53	)Y~	bb?	scrollandboathookexdown
55	Y~	bbø	rightboathookexdown
56	~Y(	bbq	boathookandscrollexdown
58	)Y(	bb=	doublescrollexdown
61	(!!!/	bw	arcandbarbtripledown
63	(!!!)	bo	doublearctripledown
66	\!!!/	bv	doublebarbtripledown
68	\!!!)	bu	barbandarctripledown
71	\\!!!	b_	doubleleftbarbtripledown
73	(!!!(	bd	arcandscrolltripledown
74	\!!!~	bð	barbandboathooktripledown
76	(!!!	bj	leftarctripledown
77	!!!/	bk	rightbarbtripledown
79	!!!)	bt	rightarctripledown
80	)\!!!	b¢	leftscrollandbarbtripledown
81	\!!!	b\	leftbarbtripledown
84	!!!~	bz	rightboathooktripledown
85	~!!!(	ba	boathookandscrolltripledown
87	)!!!(	bi	doublescrolltripledown
89	!!!(	bc	rightscrolltripledown
91	\!!/	b	doublebarbdoubledown
93	\!!)	br	barbandarcdoubledown
95	\\!!	b*	doubleleftbarbdoubledown
97	(!!(	bg	arcandscrolldoubledown
98	\!!~	b~	barbandboathookdoubledown
101	!!/	b/	rightbarbdoubledown
102	)!!)	b¬	scrollandarcdoubledown
103	!!)	bf	rightarcdoubledown
105	\!!	by	leftbarbdoubledown
106	)!!~	b?	scrollandboathookdoubledown
108	!!~	bø	rightboathookdoubledown
109	~!!(	bq	boathookandscrolldoubledown
111	)!!(	b=	doublescrolldoubledown
114	(!/	w	arcandbarbdown
116	(!)	o	doublearcdown
119	\!/	v	doublebarbdown
121	\!)	u	barbandarcdown
124	\\!	_	doubleleftbarbdown
126	(!(	d	arcandscrolldown
127	\!~	ð	barbandboathookdown
129	(!	j	leftarcdown
130	!/	k	rightbarbdown
132	!)	t	rightarcdown
133	)\!	¢	leftscrollandbarbdown
134	\!	\	leftbarbdown
137	!~	z	rightboathookdown
138	~!(	a	boathookandscrolldown
140	)!(	i	doublescrolldown
142	!(	c	rightscrolldown
144	|//|	e	natural
146	|(	r	rightscrollup
148	)|(	*	doublescrollup
150	~|(	g	boathookandscrollup
151	|~	~	rightboathookup
154	/|	/	leftbarbup
155	)/|	¬	leftscrollandbarbup
156	|)	f	rightarcup
158	|\	y	rightbarbup
159	(|	?	leftarcup
161	/|~	ø	barbandboathookup
162	(|(	q	arcandscrollup
164	//|	=	doubleleftbarbup
167	/|)	n	barbandarcup
169	/|\	^	doublebarbup
172	(|)	@	doublearcup
174	(|\	m	arcandbarbup
177	)||(	#_	doublescrolldoubleup
179	~||(	#d	boathookandscrolldoubleup
180	||~	#ð	rightboathookdoubleup
182	)||~	#j	scrollandboathookdoubleup
183	/||	#k	leftbarbdoubleup
185	||)	#t	rightarcdoubleup
186	)||)	#¢	scrollandarcdoubleup
187	||\	#\	rightbarbdoubleup
190	/||~	#z	barbandboathookdoubleup
191	(||(	#a	arcandscrolldoubleup
193	//||	#i	doubleleftbarbdoubleup
195	/||)	#c	barbandarcdoubleup
197	/||\	#	doublebarbdoubleup
199	|||(	#r	rightscrolltripleup
201	)|||(	#*	doublescrolltripleup
203	~|||(	#g	boathookandscrolltripleup
204	|||~	#~	rightboathooktripleup
207	/|||	#/	leftbarbtripleup
208	)/|||	#¬	leftscrollandbarbtripleup
209	|||)	#f	rightarctripleup
211	|||\	#y	rightbarbtripleup
212	(|||	#?	leftarctripleup
214	/|||~	#ø	barbandboathooktripleup
215	(|||(	#q	arcandscrolltripleup
217	//|||	#=	doubleleftbarbtripleup
220	/|||)	#n	barbandarctripleup
222	/|||\	#^	doublebarbtripleup
225	(|||)	#@	doublearctripleup
227	(|||\	#m	arcandbarbtripleup
230	)X(	x_	doublescrollexup
232	~X(	xd	boathookandscrollexup
233	X~	xð	rightboathookexup
235	)X~	xj	scrollandboathookexup
236	/X	xk	leftbarbexup
238	X)	xt	rightarcexup
239	)X)	x¢	scrollandarcexup
240	X\	x\	rightbarbexup
243	/X~	xz	barbandboathookexup
244	(X(	xa	arcandscrollexup
246	//X	xi	doubleleftbarbexup
248	/X)	xc	barbandarcexup
250	/X\	x	doublebarbexup
251	!		downshaft
252	.	.	sagittalgrave
253			wilsonplus
254	'	'	sagittalacute
255	|		upshaft
